,Line,Order,Product,DateBeginning,TimeBeginning,DateEnd,TimeEnd,RealDuration(Min),PauseDuration,RealDuration(Min)WithPauses,Boxes,Workers,PK,Bunches,WPH,WPH/Person
28,3,29,Dozen FREEDOM,2024-10-03,15:32:25,2024-10-03,1900-01-01 13:11:34,39.15,0.0,39.15,192.0,15.0,10.0,1920.0,294.25286209465554,19.616857472977035
29,3,30,BHAUS ROSES SPRAY,2024-10-03,16:11:34,2024-10-03,1900-01-01 13:22:41,11.12,0.0,11.12,131.0,15.0,18.0,2358.0,706.8345396484526,47.12230264323018
30,3,31,BLOOM HAUS CLASSIC BOUQUET,2024-10-03,16:19:10,2024-10-03,1900-01-01 13:36:27,17.28,0.0,17.28,102.0,15.0,9.0,918.0,354.1666525933483,23.611110172889887
31,4,32,Dozen MIXED COLORS Combo,2024-10-03,09:22:07,2024-10-03,1900-01-01 07:04:26,42.32,0.0,42.32,29.0,15.0,10.0,290.0,41.11531220575136,2.7410208137167573
32,4,33,BHAUS ROSES SPRAY,2024-10-03,10:04:26,2024-10-03,1900-01-01 07:10:40,6.23,0.0,6.23,61.0,15.0,18.0,1098.0,587.4799339959405,39.1653289330627
33,4,34,SWEET PINK BOUQUET,2024-10-03,10:10:40,2024-10-03,1900-01-01 07:30:15,19.58,0.0,19.58,220.0,15.0,13.0,2860.0,674.1573059976567,44.94382039984378
34,4,35,BHAUS BQT JOYFUL BLOOMS,2024-10-03,10:30:15,2024-10-03,1900-01-01 07:57:06,26.85,0.0,26.85,108.0,15.0,,,241.34077869407076,16.089385246271384
35,4,36,BUBBLY ROSE,2024-10-03,10:57:06,2024-10-03,1900-01-01 08:23:07,26.02,0.0,26.02,104.0,15.0,12.0,1248.0,239.81552229904557,15.987701486603038
36,4,37,BLOOM HAUS 30 PLUS BOUQUET,2024-10-03,11:23:07,2024-10-03,1900-01-01 08:29:36,6.48,0.0,6.48,221.0,15.0,3.0,663.0,2046.2962902731474,136.4197526848765
37,4,38,BHAUS RED 30 PLUS BQT RFD,2024-10-03,11:29:36,2024-10-03,1900-01-01 09:02:03,32.45,0.0,32.45,51.0,15.0,3.0,153.0,94.29891920048179,6.286594613365453
38,4,39,BLOOM HAUS CLASSIC BOUQUET,2024-10-03,12:02:03,2024-10-03,1900-01-01 10:08:07,66.07,0.0,66.07,90.0,15.0,9.0,810.0,81.73149727474609,5.448766484983072
39,4,40,RAINBOW,2024-10-03,13:08:07,2024-10-03,1900-01-01 11:17:01,68.9,34.58,34.32,240.0,15.0,10.0,2400.0,208.99854399264922,13.933236266176614
40,4,41,BHAUS RED CLASSIC BQT RFD,2024-10-03,14:17:01,2024-10-03,1900-01-01 11:21:17,4.27,0.0,4.27,82.0,15.0,9.0,738.0,1152.2248295027973,76.81498863351982
41,4,42,Dozen Rose CB Red and Color,2024-10-03,14:21:17,2024-10-03,1900-01-01 11:39:48,18.52,0.0,18.52,232.0,15.0,10.0,2320.0,751.6198518323832,50.10799012215888
42,4,43,BLOOM HAUS 18 PLUS BOUQUET,2024-10-03,14:39:48,2024-10-03,1900-01-01 12:13:33,33.75,0.0,33.75,71.0,15.0,4.0,284.0,126.22222222222221,8.414814814814815
43,4,44,BHAUS RED 18 PLUS BQT RFD,2024-10-03,15:13:05,2024-10-03,1900-01-01 12:22:45,9.67,0.0,9.67,66.0,15.0,4.0,264.0,409.5139574722404,27.30093049814936
44,4,45,BHAUS BQT JOYFUL BLOOMS,2024-10-03,15:22:45,2024-10-03,1900-01-01 13:17:20,54.58,0.0,54.58,79.0,15.0,,,86.84499525434343,5.789666350289562
