,Line,Order,Product,DateBeginning,TimeBeginning,DateEnd,TimeEnd,RealDuration(Min),PauseDuration,RealDuration(Min)WithPauses,Boxes,Workers,PK,Bunches,WPH,WPH/Person
0,CXLINE1,W0177657-1,CLASSIC VASE WET,2024-10-07,09:28:26,2024-10-07,1900-01-01 06:45:56,17.5,0.0,17.5,6.0,15.0,10,60.0,20.571428571428573,1.3714285714285714
1,CXLINE1,W0177661-1,DZ ROSE VASE,2024-10-07,09:45:56,2024-10-07,1900-01-01 07:43:21,57.42,0.0,57.42,63.0,15.0,5,315.0,65.83072310239731,4.3887148734931545
2,CXLINE1,W0177177-2,DZ ROSE VASE,2024-10-07,10:43:21,2024-10-07,1900-01-01 08:26:57,43.6,0.0,43.6,18.0,15.0,5,90.0,24.770643068738572,1.6513762045825715
3,CXLINE1,W0177177-1,BHAUS ARGT PLAY HAUS,2024-10-07,11:26:57,2024-10-07,1900-01-01 08:32:12,5.25,0.0,5.25,3.0,15.0,4,12.0,34.285714285714285,2.2857142857142856
4,CXLINE1,W0177177-4,BHAUS ARGT FUN HAUS,2024-10-07,11:32:12,2024-10-07,1900-01-01 08:38:48,6.6,0.0,6.6,3.0,15.0,5,15.0,27.272727666807572,1.8181818444538382
5,CXLINE1,W0177177-3,MASONETTES BOUQUET.,2024-10-07,11:38:48,2024-10-07,1900-01-01 08:48:58,10.17,0.0,10.17,18.0,15.0,9,162.0,106.19468946882873,7.079645964588582
6,CXLINE1,W0177658-3,BHAUS ARGT PLAY HAUS,2024-10-07,11:48:58,2024-10-07,1900-01-01 08:56:15,7.28,0.0,7.28,9.0,15.0,4,36.0,74.17582203808972,4.945054802539315
7,CXLINE1,W0177658-5,BHAUS ARGT FUN HAUS,2024-10-07,11:56:15,2024-10-07,1900-01-01 09:02:45,6.5,0.0,6.5,10.0,15.0,5,50.0,92.3076923076923,6.153846153846154
8,CXLINE1,W0177658-4,BHAUS ARGT LUXE HAUS,2024-10-07,12:02:45,2024-10-07,1900-01-01 09:06:59,4.23,0.0,4.23,2.0,15.0,2,4.0,28.36879419832345,1.8912529465548966
9,CXLINE1,W0177658-6,BHAUS ARGT OUR HAUS,2024-10-07,12:06:59,2024-10-07,1900-01-01 09:09:41,2.7,0.0,2.7,3.0,15.0,2,6.0,66.66666548929099,4.444444365952733
10,CXLINE1,W0177658-1,VASE ENHANCED DZ. RED ROSE,2024-10-07,12:09:41,2024-10-07,1900-01-01 09:33:14,23.55,0.0,23.55,19.0,15.0,5,95.0,48.40764488034404,3.227176325356269
