,Line,Order,Product,DateBeginning,TimeBeginning,DateEnd,TimeEnd,RealDuration(Min),PauseDuration,RealDuration(Min)WithPauses,Boxes,Workers,PK,Bunches,WPH,WPH/Person
11,CXLINE1,W0177774-2,DZ ROSE VASE,2024-10-07,12:33:14,2024-10-07,1900-01-01 09:52:07,18.88,0.0,18.88,18.0,15.0,5,90.0,57.20339237325198,3.813559491550132
12,CXLINE1,W0177774-1,BHAUS ARGT PLAY HAUS,2024-10-07,12:52:07,2024-10-07,1900-01-01 09:55:57,3.83,0.0,3.83,4.0,15.0,4,16.0,62.66318662684641,4.177545775123094
13,CXLINE1,W0177774-6,BHAUS ARGT OUR HAUS,2024-10-07,12:55:57,2024-10-07,1900-01-01 10:00:06,4.15,0.0,4.15,3.0,15.0,2,6.0,43.373492979176234,2.891566198611749
14,CXLINE1,W0177774-4,BHAUS ARGT LUXE HAUS,2024-10-07,13:00:06,2024-10-07,1900-01-01 10:04:57,4.85,0.0,4.85,4.0,15.0,2,8.0,49.48453705550788,3.2989691370338585
15,CXLINE1,W0177774-5,BHAUS ARGT FUN HAUS,2024-10-07,13:04:57,2024-10-07,1900-01-01 10:09:34,4.62,0.0,4.62,6.0,15.0,5,30.0,77.92207985226717,5.194805323484478
16,CXLINE1,W0177658-2,MASONETTES BOUQUET.,2024-10-07,13:09:34,2024-10-07,1900-01-01 11:36:12,86.63,0.0,86.63,135.0,15.0,9,1215.0,93.50109958222832,6.233406638815222
17,CXLINE1,W0177774-3,MASONETTES BOUQUET.,2024-10-07,14:36:12,2024-10-07,1900-01-01 11:45:50,9.63,0.0,9.63,27.0,15.0,9,243.0,168.22429706627798,11.214953137751866
18,CXLINE3,W0177773-4,BLOOM HAUS 12 PLUS BOUQUET,2024-10-07,09:36:48,2024-10-07,1900-01-01 07:16:08,39.33,0.0,39.33,81.0,15.0,10,810.0,123.56978829740555,8.237985886493703
19,CXLINE3,W0177659-4,BLOOM HAUS CLASSIC BOUQUET,2024-10-07,10:16:08,2024-10-07,1900-01-01 08:49:35,93.45,0.0,93.45,266.0,15.0,9,2394.0,170.78652243123707,11.385768162082472
20,CXLINE3,W0177659-6,BHAUS RED CLASSIC BQT RFD,2024-10-07,11:49:35,2024-10-07,1900-01-01 08:51:24,1.82,0.0,1.82,13.0,15.0,9,117.0,428.571416220074,28.571427748004933
21,CXLINE3,W0177659-5,BLOOM HAUS 18 PLUS BOUQUET,2024-10-07,11:51:24,2024-10-07,1900-01-01 09:40:18,48.9,0.0,48.9,150.0,15.0,4,600.0,184.0490740115215,12.269938267434766
22,CXLINE3,W0177659-2,BLOOM HAUS 30 PLUS BOUQUET,2024-10-07,12:40:18,2024-10-07,1900-01-01 09:48:12,7.9,0.0,7.9,19.0,15.0,3,57.0,144.303795726344,9.620253048422933
23,CXLINE3,W0177659-1,BHAUS BQT ALEGRIA LATE FALL,2024-10-07,12:48:12,2024-10-07,1900-01-01 10:03:21,15.15,0.0,15.15,34.0,15.0,6,204.0,134.65346873704434,8.976897915802956
24,CXLINE3,W0177659-3,BUBBLY ROSE,2024-10-07,13:03:21,2024-10-07,1900-01-01 10:30:24,27.05,0.0,27.05,19.0,15.0,12,228.0,42.14417863783573,2.809611909189049
25,CXLINE3,W0177176-5,BLOOM HAUS 12 PLUS BOUQUET,2024-10-07,13:30:24,2024-10-07,1900-01-01 11:40:48,70.4,0.0,70.4,108.0,15.0,10,1080.0,92.0454525504231,6.136363503361539
26,CXLINE3,W0177659-9,RAINBOW,2024-10-07,14:40:48,2024-10-07,1900-01-01 12:49:01,68.22,0.0,68.22,67.0,15.0,10,670.0,58.92699982508981,3.928466655005987
27,CXLINE4,W0177176-7,BLOOM HAUS CLASSIC BOUQUET,2024-10-07,09:46:20,2024-10-07,1900-01-01 07:16:27,30.12,0.0,30.12,99.0,15.0,9,891.0,197.21114988359284,13.147409992239522
28,CXLINE4,W0177176-4,BHAUS ROSES SPRAY,2024-10-07,10:16:39,2024-10-07,1900-01-01 07:23:06,6.45,0.0,6.45,18.0,15.0,18,324.0,167.44186541658937,11.162791027772624
29,CXLINE4,W0177176-8,BUBBLY ROSE,2024-10-07,10:23:13,2024-10-07,1900-01-01 07:31:31,8.3,0.0,8.3,18.0,15.0,12,216.0,130.1204789375287,8.674698595835247
30,CXLINE4,W0177176-6,BLOOM HAUS 18 PLUS BOUQUET,2024-10-07,10:32:08,2024-10-07,1900-01-01 07:58:29,26.35,0.0,26.35,81.0,15.0,4,324.0,184.44022503383826,12.296015002255883
31,CXLINE4,W0177176-10,BLOOM HAUS 30 PLUS BOUQUET,2024-10-07,10:58:41,2024-10-07,1900-01-01 08:07:30,8.82,0.0,8.82,27.0,15.0,3,81.0,183.67347574293612,12.244898382862408
32,CXLINE4,W0177659-7,BHAUS RED 30 PLUS BQT RFD,2024-10-07,11:07:21,2024-10-07,1900-01-01 08:09:48,2.45,0.0,2.45,6.0,15.0,3,18.0,146.93877265037278,9.795918176691519
33,CXLINE4,W0177659-8,BHAUS RED 18 PLUS BQT RFD,2024-10-07,11:09:59,2024-10-07,1900-01-01 08:15:21,5.37,0.0,5.37,12.0,15.0,4,48.0,134.07821514786482,8.93854767652432
34,CXLINE4,W0177659-10,Dozen Rose CB Red and Color,2024-10-07,11:15:48,2024-10-07,1900-01-01 09:09:44,53.93,27.05,26.88,108.0,15.0,10,1080.0,120.15575678344842,8.010383785563228
35,CXLINE4,W0177660-2,Dozen Rose CB Red and Color,2024-10-07,12:10:01,2024-10-07,1900-01-01 09:32:36,22.58,0.0,22.58,78.0,15.0,10,780.0,207.2630653592966,13.817537690619774
36,CXLINE4,W0177660-3,Dozen MIXED COLORS Combo,2024-10-07,12:32:50,2024-10-07,1900-01-01 11:34:58,122.13,40.03,82.1,296.0,15.0,10,2960.0,145.41881928604533,9.694587952403023
37,CXLINE4,W0177660-1,Dozen WHITE Combo,2024-10-07,16:37:35,2024-10-07,1900-01-01 13:41:03,3.47,0.0,3.47,7.0,15.0,10,70.0,121.03746297898859,8.069164198599239
